T33,Tourist/visitor arrivals and tourism expenditure,,,,,,,
Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
28,Antigua and Barbuda,2005,Tourism expenditure (millions of US dollars),,,309,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
28,Antigua and Barbuda,2010,Tourism expenditure (millions of US dollars),,,298,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
28,Antigua and Barbuda,2018,Tourism expenditure (millions of US dollars),,,775,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
28,Antigua and Barbuda,2019,Tourism expenditure (millions of US dollars),,,909,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
28,Antigua and Barbuda,2020,Tourism expenditure (millions of US dollars),,,386,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
32,Argentina,1995,Tourist/visitor arrivals (thousands),TF,,"2,289",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
32,Argentina,2005,Tourist/visitor arrivals (thousands),TF,,"3,823",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
32,Argentina,2010,Tourist/visitor arrivals (thousands),TF,,"6,800",Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
32,Argentina,2018,Tourist/visitor arrivals (thousands),TF,,"6,942",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
32,Argentina,2019,Tourist/visitor arrivals (thousands),TF,,"7,399",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
32,Argentina,2020,Tourist/visitor arrivals (thousands),TF,,"2,090",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
32,Argentina,1995,Tourism expenditure (millions of US dollars),,,"2,550",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
32,Argentina,2005,Tourism expenditure (millions of US dollars),,,"3,209",Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
32,Argentina,2010,Tourism expenditure (millions of US dollars),,,"5,605",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
32,Argentina,2018,Tourism expenditure (millions of US dollars),,,"5,999",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
32,Argentina,2019,Tourism expenditure (millions of US dollars),,,"5,654",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
32,Argentina,2020,Tourism expenditure (millions of US dollars),,,"1,702",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
51,Armenia,1995,Tourist/visitor arrivals (thousands),TF,,12,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
51,Armenia,2005,Tourist/visitor arrivals (thousands),TF,,319,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
51,Armenia,2010,Tourist/visitor arrivals (thousands),TF,,684,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
51,Armenia,2018,Tourist/visitor arrivals (thousands),TF,,"1,652",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
51,Armenia,2019,Tourist/visitor arrivals (thousands),TF,,"1,894",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
51,Armenia,2020,Tourist/visitor arrivals (thousands),TF,,375,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
51,Armenia,1995,Tourism expenditure (millions of US dollars),,,14,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
51,Armenia,2005,Tourism expenditure (millions of US dollars),,,243,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
51,Armenia,2010,Tourism expenditure (millions of US dollars),,,694,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
51,Armenia,2018,Tourism expenditure (millions of US dollars),,,"1,358",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
51,Armenia,2019,Tourism expenditure (millions of US dollars),,,"1,553",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
51,Armenia,2020,Tourism expenditure (millions of US dollars),,,303,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
533,Aruba,1995,Tourist/visitor arrivals (thousands),TF,,619,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
533,Aruba,2005,Tourist/visitor arrivals (thousands),TF,,733,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
533,Aruba,2010,Tourist/visitor arrivals (thousands),TF,,824,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
533,Aruba,2018,Tourist/visitor arrivals (thousands),TF,,"1,082",Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
533,Aruba,2019,Tourist/visitor arrivals (thousands),TF,,"1,119",Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
533,Aruba,1995,Tourism expenditure (millions of US dollars),,,554,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
533,Aruba,2005,Tourism expenditure (millions of US dollars),,,"1,097",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
533,Aruba,2010,Tourism expenditure (millions of US dollars),,,"1,254",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
533,Aruba,2018,Tourism expenditure (millions of US dollars),,,"2,035",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
533,Aruba,2019,Tourism expenditure (millions of US dollars),,,"2,109",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
533,Aruba,2020,Tourism expenditure (millions of US dollars),,,"1,077",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
36,Australia,1995,Tourist/visitor arrivals (thousands),VF,,"3,726",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
36,Australia,2005,Tourist/visitor arrivals (thousands),VF,,"5,499",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
36,Australia,2010,Tourist/visitor arrivals (thousands),VF,,"5,790",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
36,Australia,2018,Tourist/visitor arrivals (thousands),VF,,"9,246",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
36,Australia,2019,Tourist/visitor arrivals (thousands),VF,,"9,466",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
36,Australia,2020,Tourist/visitor arrivals (thousands),VF,,"1,828",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
36,Australia,1995,Tourism expenditure (millions of US dollars),,,"10,370",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
36,Australia,2005,Tourism expenditure (millions of US dollars),,,"19,719",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
36,Australia,2010,Tourism expenditure (millions of US dollars),,,"31,064",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
36,Australia,2018,Tourism expenditure (millions of US dollars),,,"47,327",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
36,Australia,2019,Tourism expenditure (millions of US dollars),,,"47,953",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
36,Australia,2020,Tourism expenditure (millions of US dollars),,,"26,234",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
40,Austria,1995,Tourist/visitor arrivals (thousands),TCE,,"17,173",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
40,Austria,2005,Tourist/visitor arrivals (thousands),TCE,,"19,952",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
40,Austria,2010,Tourist/visitor arrivals (thousands),TCE,,"22,004",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
40,Austria,2018,Tourist/visitor arrivals (thousands),TCE,,"30,816",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
40,Austria,2019,Tourist/visitor arrivals (thousands),TCE,,"31,884",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
40,Austria,2020,Tourist/visitor arrivals (thousands),TCE,,"15,091",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
40,Austria,1995,Tourism expenditure (millions of US dollars),,,"13,435",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
40,Austria,2005,Tourism expenditure (millions of US dollars),,,"16,243",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
40,Austria,2010,Tourism expenditure (millions of US dollars),,,"18,751",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
40,Austria,2018,Tourism expenditure (millions of US dollars),,,"23,233",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
40,Austria,2019,Tourism expenditure (millions of US dollars),,,"22,983",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
40,Austria,2020,Tourism expenditure (millions of US dollars),,,"13,881",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
31,Azerbaijan,2005,Tourist/visitor arrivals (thousands),TF,,693,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
31,Azerbaijan,2010,Tourist/visitor arrivals (thousands),TF,,"1,280",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
31,Azerbaijan,2018,Tourist/visitor arrivals (thousands),TF,,"2,633",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
31,Azerbaijan,2019,Tourist/visitor arrivals (thousands),TF,,"2,876",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
31,Azerbaijan,2020,Tourist/visitor arrivals (thousands),TF,,587,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
31,Azerbaijan,1995,Tourism expenditure (millions of US dollars),,,87,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
31,Azerbaijan,2005,Tourism expenditure (millions of US dollars),,,100,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
31,Azerbaijan,2010,Tourism expenditure (millions of US dollars),,,792,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
31,Azerbaijan,2018,Tourism expenditure (millions of US dollars),,,"2,830",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
31,Azerbaijan,2019,Tourism expenditure (millions of US dollars),,,"2,004",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
31,Azerbaijan,2020,Tourism expenditure (millions of US dollars),,,340,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
44,Bahamas,1995,Tourist/visitor arrivals (thousands),TF,,"1,598",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
44,Bahamas,2005,Tourist/visitor arrivals (thousands),TF,,"1,625",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
44,Bahamas,2010,Tourist/visitor arrivals (thousands),TF,,"1,378",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
44,Bahamas,2018,Tourist/visitor arrivals (thousands),TF,,"1,633",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
44,Bahamas,2019,Tourist/visitor arrivals (thousands),TF,,"1,807",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
44,Bahamas,2020,Tourist/visitor arrivals (thousands),TF,,453,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
44,Bahamas,1995,Tourism expenditure (millions of US dollars),,,"1,356",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
44,Bahamas,2005,Tourism expenditure (millions of US dollars),,,"2,081",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
44,Bahamas,2010,Tourism expenditure (millions of US dollars),,,"2,159",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
44,Bahamas,2018,Tourism expenditure (millions of US dollars),,,"3,756",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
44,Bahamas,2019,Tourism expenditure (millions of US dollars),,,"4,150",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
44,Bahamas,2020,Tourism expenditure (millions of US dollars),,,"1,007",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
48,Bahrain,1995,Tourist/visitor arrivals (thousands),VF,,"2,311",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
48,Bahrain,2005,Tourist/visitor arrivals (thousands),VF,,"6,313",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
48,Bahrain,2010,Tourist/visitor arrivals (thousands),VF,,"11,952",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
48,Bahrain,2018,Tourist/visitor arrivals (thousands),VF,,"12,045",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
48,Bahrain,2019,Tourist/visitor arrivals (thousands),VF,,"11,061",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
48,Bahrain,2020,Tourist/visitor arrivals (thousands),VF,,"1,909",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
