Name,FIPS,"% Educational Attainment | Bachelor's degree or higher, 2021 [Estimated]","Population Density (per square mile), 2021 [Estimated]","% Household Size | 1-person household, 2021 [Estimated]","% Household Size | 2-person household, 2021 [Estimated]","% Household Size | 3-person household, 2021 [Estimated]","% Household Size | 4-person household, 2021 [Estimated]","% Household Size | 5-person household, 2021 [Estimated]","% Household Size | 6-person household, 2021 [Estimated]","# Gini Index Of Income Inequality [B19083] | Gini Index, 2019","% Hispanic or Latino | Hispanic or Latino, 2021 [Estimated]"
"Bacon County, GA",13005,9.5846,39.46,22.2194,37.673,17.5295,13.3521,8.0984,0.4869,0.462,10.4728
"Bailey County, TX",48017,20.1969,8.5843,25.2842,44.7212,6.0097,12.7775,1.7325,6.7136,0.4025,65.8684
"Baker County, FL",12003,14.4121,48.9483,20.7016,32.8402,15.5346,17.2943,6.3663,5.8619,0.422,2.7822
"Baker County, GA",13007,14.4876,8.9777,46.8877,31.1231,9.9459,8.6604,1.8945,0.4736,0.4874,6.645
"Baker County, OR",41001,24.1603,5.2047,31.1449,38.7873,14.4143,8.0555,3.2901,2.6999,0.4528,4.628
"Baldwin County, AL",1003,32.7492,139.2558,30.6297,37.177,12.8314,10.8268,5.3527,2.0562,0.4587,5.3376
"Baldwin County, GA",13009,25.1136,172.977,31.0522,37.636,11.6531,10.9483,5.4773,1.4342,0.4639,2.3889
"Ballard County, KY",21007,15.5306,32.0818,22.8698,46.8984,10.0204,9.5092,7.6005,0.9543,0.4549,1.553
"Baltimore County, MD",24005,39.5639,1389.5264,28.5517,32.2502,16.4693,12.446,5.8954,2.3776,0.452,6.2368
"Baltimore city, MD",24510,32.0001,7470.3354,38.9943,29.2938,13.5014,9.0916,4.5981,2.1426,0.5145,6.1502
"Bamberg County, SC",45009,18.8385,35.1682,30.2563,34.4013,15.3584,6.628,5.026,4.4654,0.4499,3.0215
"Bandera County, TX",48019,22.4894,28.894,22.5625,48.8216,14.7266,8.7451,2.3448,1.9141,0.421,19.3043
"Banks County, GA",13011,14.3224,81.0925,28.0367,33.5257,15.9195,10.4453,6.3027,3.7136,0.4162,7.2431
"Banner County, NE",31007,26.0579,0.851,13.1148,59.4262,11.8852,5.3279,4.0984,0,0.4601,7.2441
"Bannock County, ID",16005,27.8735,77.9341,26.9985,32.9996,15.532,11.0934,6.2817,3.5522,0.4402,9.2317
