Max AQI,90th Percentile AQI,Median AQI,% Good Days,% Unhealthy for Sensitive Groups Days,% Unhealthy Days,% Very Unhealthy Days,% Days CO,% Days NO2,% Days PM2.5,% Days PM10,County_State
93,48,39,0.9320388349514563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Tolland, CT"
87,44,35,0.9691011235955056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Windham, CT"
80,48,36,0.9171270718232044,0.0,0.0,0.0,0.0,0.0,0.19889502762430938,0.0,"Kent, DE"
105,58,40,0.819672131147541,0.00546448087431694,0.0,0.0,0.0,0.02459016393442623,0.3797814207650273,0.0,"New Castle, DE"
87,51,38,0.8989071038251366,0.0,0.0,0.0,0.0,0.0,0.2459016393442623,0.0,"Sussex, DE"
166,53,40,0.8579234972677595,0.0,0.00273224043715847,0.0,0.0,0.12295081967213115,0.28688524590163933,0.0,"District of Columbia, DC"
105,52,36,0.8879781420765027,0.00273224043715847,0.0,0.0,0.0,0.0,0.453551912568306,0.0,"Alachua, FL"
140,49,35,0.9118457300275482,0.005509641873278237,0.0,0.0,0.0,0.0,0.42699724517906334,0.0,"Baker, FL"
146,58,40,0.7741046831955923,0.005509641873278237,0.0,0.0,0.0,0.0,0.5537190082644629,0.0,"Bay, FL"
84,52,39,0.8852459016393442,0.0,0.0,0.0,0.0,0.0,0.33060109289617484,0.0,"Brevard, FL"
142,57,40,0.7923497267759563,0.00546448087431694,0.0,0.0,0.0,0.01092896174863388,0.592896174863388,0.0,"Broward, FL"
125,53,32,0.8607242339832869,0.002785515320334262,0.0,0.0,0.0,0.0,1.0,0.0,"Citrus, FL"
85,54,36,0.8681318681318682,0.0,0.0,0.0,0.0,0.0,0.510989010989011,0.0,"Collier, FL"
158,56,36,0.819935691318328,0.003215434083601286,0.006430868167202572,0.0,0.0,0.0,0.6977491961414791,0.0,"Columbia, FL"
125,59,42,0.7486338797814208,0.00819672131147541,0.0,0.0,0.0,0.0,0.6557377049180327,0.00273224043715847,"Duval, FL"
80,58,42,0.7472222222222222,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.0,"Escambia, FL"
64,43,31,0.9918032786885246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Flagler, FL"
154,52,34,0.8825503355704698,0.003355704697986577,0.003355704697986577,0.0,0.0,0.0,1.0,0.0,"Hamilton, FL"
74,44,31,0.9636871508379888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Highlands, FL"
112,60,43,0.7650273224043715,0.00819672131147541,0.0,0.0,0.0,0.0,0.5355191256830601,0.01366120218579235,"Hillsborough, FL"
138,54,38,0.8484848484848485,0.008264462809917356,0.0,0.0,0.0,0.0,0.5867768595041323,0.0,"Holmes, FL"
87,47,37,0.9556213017751479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Indian River, FL"
87,45,32,0.9672131147540983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Lake, FL"
100,50,36,0.9016393442622951,0.0,0.0,0.0,0.0,0.0,0.29508196721311475,0.0,"Lee, FL"
160,58,40,0.7896174863387978,0.00546448087431694,0.00273224043715847,0.0,0.0,0.0,0.7103825136612022,0.0,"Leon, FL"
51,44,31,0.994413407821229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Liberty, FL"
97,44,33,0.9699453551912568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Manatee, FL"
100,55,39,0.819672131147541,0.0,0.0,0.0,0.0,0.0,0.5382513661202186,0.0,"Marion, FL"
95,52,36,0.8767123287671232,0.0,0.0,0.0,0.0,0.0,0.4520547945205479,0.0,"Martin, FL"
90,58,39,0.8114754098360656,0.0,0.0,0.0,0.0,0.01092896174863388,0.5628415300546448,0.0,"Miami-Dade, FL"
51,43,31,0.9767441860465116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Nassau, FL"
74,46,34,0.9752747252747253,0.0,0.0,0.0,0.0,0.0,0.0,0.08241758241758242,"Okaloosa, FL"
93,51,36,0.8907103825136612,0.0,0.0,0.0,0.0,0.0,0.273224043715847,0.00273224043715847,"Orange, FL"
90,44,32,0.9672131147540983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Osceola, FL"
92,53,38,0.8587257617728532,0.0,0.0,0.0,0.0,0.0,0.3296398891966759,0.08587257617728532,"Palm Beach, FL"
77,46,35,0.9699453551912568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Pasco, FL"
100,56,40,0.8224043715846995,0.0,0.0,0.0,0.0,0.0,0.4672131147540984,0.0,"Pinellas, FL"
87,54,37,0.852054794520548,0.0,0.0,0.0,0.0,0.0,0.4520547945205479,0.005479452054794521,"Polk, FL"
67,27,14,0.9972677595628415,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Putnam, FL"
84,57,40,0.8082191780821918,0.0,0.0,0.0,0.0,0.0,0.43561643835616437,0.0,"Santa Rosa, FL"
90,55,38,0.8415300546448088,0.0,0.0,0.0,0.0,0.0,0.42349726775956287,0.0,"Sarasota, FL"
84,49,36,0.9095890410958904,0.0,0.0,0.0,0.0,0.0,0.3287671232876712,0.00821917808219178,"Seminole, FL"
74,44,33,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"St. Lucie, FL"
77,50,38,0.9033149171270718,0.0,0.0,0.0,0.0,0.0,0.42265193370165743,0.0,"Volusia, FL"
161,54,35,0.8677685950413223,0.0,0.005509641873278237,0.0,0.011019283746556474,0.0,0.45454545454545453,0.0,"Wakulla, FL"
97,52,35,0.8825136612021858,0.0,0.0,0.0,0.0,0.0,0.6502732240437158,0.0,"Bibb, GA"
139,34,19,0.9583333333333334,0.008333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,"Charlton, GA"
131,53,37,0.8575342465753425,0.0027397260273972603,0.0,0.0,0.0,0.0,0.6958904109589041,0.0,"Chatham, GA"
58,43,32,0.9959183673469387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Chattooga, GA"
99,54,36,0.8524590163934426,0.0,0.0,0.0,0.0,0.0,0.6420765027322405,0.0,"Clarke, GA"
90,54,28,0.8512396694214877,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Clayton, GA"
90,49,35,0.9228070175438596,0.0,0.0,0.0,0.0,0.0,0.24912280701754386,0.0,"Cobb, GA"
108,42,25,0.9583333333333334,0.008333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,"Coffee, GA"
51,44,31,0.991701244813278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Columbia, GA"
74,43,31,0.9755102040816327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Dawson, GA"
106,57,38,0.819672131147541,0.00273224043715847,0.0,0.0,0.0,0.08743169398907104,0.5655737704918032,0.0,"DeKalb, GA"
114,61,37,0.7561643835616438,0.005479452054794521,0.0,0.0,0.0,0.0,1.0,0.0,"Dougherty, GA"
77,44,32,0.9714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Douglas, GA"
80,53,31,0.8680981595092024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Floyd, GA"
125,62,43,0.7021857923497268,0.00546448087431694,0.0,0.0,0.0,0.06557377049180328,0.7103825136612022,0.0,"Fulton, GA"
96,44,31,0.9578947368421052,0.0,0.0,0.0,0.0,0.0,0.23508771929824562,0.0,"Glynn, GA"
101,55,37,0.8269230769230769,0.0027472527472527475,0.0,0.0,0.0,0.0,0.6016483516483516,0.0,"Gwinnett, GA"
98,55,33,0.8467966573816156,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Hall, GA"
95,50,32,0.907103825136612,0.0,0.0,0.0,0.0,0.0,0.546448087431694,0.0,"Henry, GA"
114,57,35,0.7928176795580111,0.0027624309392265192,0.0,0.0,0.0,0.0,1.0,0.0,"Houston, GA"
141,54,30,0.8762376237623762,0.0049504950495049506,0.0,0.0,0.0,0.0,1.0,0.0,"Lowndes, GA"
61,45,34,0.9522058823529411,0.0,0.0,0.0,0.0,0.0,0.13602941176470587,0.0,"Murray, GA"
101,53,35,0.8661202185792349,0.00273224043715847,0.0,0.0,0.0,0.0,0.6010928961748634,0.0,"Muscogee, GA"
64,44,33,0.9915254237288136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Pike, GA"
114,59,42,0.73224043715847,0.00273224043715847,0.0,0.0,0.0,0.0,0.7295081967213115,0.040983606557377046,"Richmond, GA"
77,46,34,0.9508196721311475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Rockdale, GA"
64,44,32,0.9875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sumter, GA"
84,53,30,0.8531073446327684,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Walker, GA"
112,54,32,0.8413597733711048,0.0056657223796034,0.0,0.0,0.0,0.0,1.0,0.0,"Washington, GA"
80,30,17,0.9754098360655737,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Hawaii, HI"
58,36,26,0.9972677595628415,0.0,0.0,0.0,0.0,0.00273224043715847,0.14754098360655737,0.00819672131147541,"Honolulu, HI"
41,25,11,1.0,0.0,0.0,0.0,0.0,0.2328767123287671,0.7671232876712328,0.0,"Kauai, HI"
56,23,15,0.994269340974212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Maui, HI"
